pmid,title,abstract,year,month,day
35182880,Safety and humoral response rate of inactivated and mRNA vaccines against SARS-CoV-2 in patients with Multiple Sclerosis.,"Safety and effectiveness outcomes in Multiple Sclerosis (MS) patients receiving different disease-modifying therapies (DMT) and different types of vaccines against SARS-CoV-2 are limited. Growing evidence coming mainly from Israel, Europe and North America using mRNA and adenoviral vector vaccines has been published. To assess the safety and humoral response of inactivated virus and mRNA vaccines against SARS-CoV-2 in patients with MS. Ongoing, multicentric, prospective, observational study perf",2022,2,19
35181932,EVALUATION OF ANTIBODY RESPONSE AFTER TWO DOSES OF THE SINOVAC VACCINE AND THE POTENTIAL NEED FOR BOOSTER DOSES IN CANCER PATIENTS.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is more severe in some specific patient groups, such as cancer patients with a mortality rate of 26.5%. The main way of protection is vaccination. In this study, we aimed to evaluate the antibody responses of our cancer patients who received 2 doses of the inactivated COVID-19 vaccine manufactured by Sinovac Life Sciences (Beijing, China). Patients over the age of 18, who had not been suspected or PCR-confirmed COVID-19 positive, who r",2022,2,19
35176770,Reduced serological response to COVID-19 vaccines in patients with IBD is further diminished by TNF inhibitor therapy; Early results of the VARIATION study (VAriability in Response in IBD Against SARS-COV-2 ImmunisatiON).,"Evidence suggests patients with inflammatory bowel disease (IBD) receiving TNF-antagonists have attenuated response to vaccination against COVID-19. We sought to determine the impact of IBD and various medications for treatment of IBD on antibody responses to vaccination against COVID-19. Patients with IBD (n=270) and healthy controls (HC, n=116) were recruited prospectively and quantitative antibody responses assessed following COVID-19 vaccination. The impact of IBD and medications for treatme",2022,2,17
35176326,"COVID-19 in dialysis: clinical impact, immune response, prevention and treatment.","The SARS-CoV-2 pandemic has profound adverse effects on the dialysis population. Patients requiring dialysis are at increased risk of SARS-CoV-2 infection and mortality, and many have experienced psychological distress, as well as delayed or suboptimal care. COVID-19 survivors have prolonged viral shedding, but generally develop a robust and long-lasting humoral immune response that correlates with initial disease severity. However, protection against reinfection is incomplete. A growing body of",2022,2,17
35176008,"Safety Monitoring of COVID-19 Vaccine Booster Doses Among Adults - United States, September 22, 2021-February 6, 2022.","During September 22, 2021-February 6, 2022, approximately 82.6 million U.S. residents aged =18 years received a COVID-19 vaccine booster dose.* The Food and Drug Administration (FDA) has authorized a booster dose of either the same product administered for the primary series (homologous) or a booster dose that differs from the product administered for the primary series (heterologous). These booster authorizations apply to all three COVID-19 vaccines used in the United States (1-3).<sup>?/sup> ",2022,2,17
35176007,"Waning 2-Dose and 3-Dose Effectiveness of mRNA Vaccines Against COVID-19-Associated Emergency Department and Urgent Care Encounters and Hospitalizations Among Adults During Periods of Delta and Omicron Variant Predominance - VISION Network, 10 States, August 2021-January 2022.","CDC recommends that all persons aged =12 years receive a booster dose of COVID-19 mRNA vaccine =5 months after completion of a primary mRNA vaccination series and that immunocompromised persons receive a third primary dose.* Waning of vaccine protection after 2 doses of mRNA vaccine has been observed during the period of the SARS-CoV-2 B.1.617.2 (Delta) variant predominance<sup>?/sup> (1-5), but little is known about durability of protection after 3 doses during periods of Delta or SARS-CoV-2 B",2022,2,17
35173736,Healthcare Workers in South Korea Maintain a SARS-CoV-2 Antibody Response Six Months After Receiving a Second Dose of the BNT162b2 mRNA Vaccine.,"Effective vaccines against coronavirus disease 2019 (COVID-19) are available worldwide; however, the longevity of vaccine effectiveness is not known. We performed a prospective observational study to assess the antibody response of healthcare workers against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) after BNT162b2 mRNA COVID-19 vaccination. SARS-CoV-2 neutralizing antibody (nAb) and spike (S) protein-IgG (S-IgG) antibody titers were examined in participants who received two do",2022,2,19
35173108,More effective vaccines and oral antivirals: Keys for the battle against Omicron.,"With the rapid roll out of vaccination programs and extraordinary non-pharmaceutical interventions (NPIs) by the government, China has maintained a ""dynamic zero-COVID-19"" policy over the last two years. However, the global pandemic and immune evasion of Omicron variant poses a huge challenge to China. Currently, about 87.69% of the Chinese population has been vaccinated, most with inactivated vaccines. Although seroepidemiological data on the vaccinated are lacking, published data suggested tha",2022,2,17
35171998,The effect of gestational age at BNT162b2 mRNA vaccination on maternal and neonatal SARS-CoV-2 antibody levels.,"COVID-19 during pregnancy and early infancy can result in severe disease. Evaluating the effect of gestational age at the time of SARS-CoV-2 vaccination on maternal antibody levels and transplacental antibody transfer has important implications for maternal care and vaccination strategies. Maternal and cord blood sera were collected from mother/newborn dyads (n=402), following term delivery after antenatal two-dose SARS-CoV-2 BNT162b2 mRNA vaccination. SARS-CoV-2 spike protein (S) and receptor b",2022,2,16
35171373,Six-month humoral response to BNT162b2 mRNA COVID-19 vaccine in people with multiple sclerosis treated with natalizumab.,"Few studies investigated the immune response to SARS-CoV-2 vaccine in patients with multiple sclerosis (pwMS) treated with natalizumab (NTZ) and found a short-term efficient humoral response; however, there are no studies assessing the levels of SARS-CoV-2 IgG antibodies in pwMS treated with NTZ over time. Humoral immune response to BNT162b2 mRNA COVID-19 vaccine was assessed in a group of 26 pwMS on NTZ up to 6 months after a full COVID-19 vaccination cycle and compared it with 43 age- and sex-",2022,2,19
35169017,mRNA COVID-19 vaccine booster fosters B- and T-cell responses in immunocompromised patients.,"SARS-CoV-2 vaccination has proven effective in inducing an immune response in healthy individuals and is progressively us allowing to overcome the pandemic. Recent evidence has shown that response to vaccination in some vulnerable patients may be diminished, and it has been proposed a booster dose. We tested the kinetic of development of serum antibodies to the SARS-CoV-2 Spike protein, their neutralizing capacity, the CD4 and CD8 IFN-<U+03B3> T-cell response in 328 subjects, including 131 immunocompro",2022,2,18
35165656,Short-Term Safety of Booster Immunization With BNT162b2 mRNA COVID-19 Vaccine in Healthcare Workers.,This study demonstrated a favorable short-term safety profile after a third dose of the BNT162b2 vaccine among healthcare workers (HCWs). There were more frequent local reactions and less systemic reactions compared to the second dose. The HCWs who reported reactions had higher prebooster titer of anti-S1 antibodies compared to those who reported no reactions.,2022,2,16
35165592,Cardiopulmonary Arrest After COVID-19 Vaccination: A Case Report.,"Coronavirus disease 2019 (COVID-19) emerged in Wuhan in 2019 and by far has affected the whole world, and many people have succumbed to the disease. Vaccination programs introduced around the globe are aiming to reduce morbidity, mortality, and disease spread. We report the case of a 59-year-old male who suffered from cardiopulmonary arrest post-COVID-19 mRNA booster vaccination with no history of any other cardiopulmonary disease. Association between myocarditis and mRNA COVID-19 vaccines have ",2022,2,16
35144968,Effectiveness of mRNA vaccines and waning of protection against SARS-CoV-2 infection and severe covid-19 during predominant circulation of the delta variant in Italy: retrospective cohort study.,"To estimate the effectiveness of mRNA vaccines against SARS-CoV-2 infection and severe covid-19 at different time after vaccination. Retrospective cohort study. Italy, 27 December 2020 to 7 November 2021. 33 250 344 people aged =16 years who received a first dose of BNT162b2 (Pfizer-BioNTech) or mRNA-1273 (Moderna) vaccine and did not have a previous diagnosis of SARS-CoV-2 infection. SARS-CoV-2 infection and severe covid-19 (admission to hospital or death). Data were divided by weekly time inte",2022,2,14
35143997,The effect of a third BNT162b2 vaccine on breakthrough infections in healthcare workers: a cohort analysis.,"In August 2021, six months following a mass vaccination of the Israeli population by the two-dose BNT162b2 mRNA vaccine, a surge of COVID-19 infections, mostly by the Delta variant, appeared also among the vaccinated. In response, the Israeli Ministry of Health initiated a booster (third dose) vaccination program. We assessed the protective effect of the third dose among healthcare workers (HCW). Infections by SARS-CoV-2 are monitored systematically among HCW at the Hadassah tertiary care medica",2022,2,16
35143256,Broad anti-SARS-CoV-2 antibody immunity induced by heterologous ChAdOx1/mRNA-1273 vaccination.,Heterologous prime-boost immunization strategies have the potential to augment COVID-19 vaccine efficacy. We longitudinally profiled SARS-CoV-2 spike (S)-specific serological and memory B cell (MBC) responses in individuals receiving either homologous (ChAdOx1:ChAdOx1) or heterologous (ChAdOx1:mRNA-1273) prime-boost vaccination. Heterologous mRNA booster immunization induced higher serum neutralizing antibody and MBC responses against SARS-CoV-2 variants of concern (VOCs) compared to homologous ,2022,2,10
35137021,Effectiveness of BNT162b2 and mRNA-1273 Second Doses and Boosters for SARS-CoV-2 infection and SARS-CoV-2 Related Hospitalizations: A Statewide Report from the Minnesota Electronic Health Record Consortium.,"Using vaccine data combined with electronic health records, we report that mRNA boosters provide greater protection than a two-dose regimen against SARS-CoV-2 infection and related hospitalizations. The benefit of a booster was more evident in the elderly and those with comorbidities. These results support the case for COVID-19 boosters.",2022,2,9
35134810,BNT162b2 mRNA COVID-19 (Comirnaty) Vaccine Effectiveness in Elderly Patients Who Live in Long-Term Care Facilities: A Nationwide Cohort.,"In early 2020, the novel SARS-CoV-2 virus began to spread around the world and claim victims. Initially, in the Western world, COVID-19-related mortality was due to illness in long-term care facilities (LTCFs). To manage the COVID-19 crisis in LTCFs in Israel, the Ministry of Health established a task force named ""Senior Shield."" The task force executed a screening program of weekly polymerase chain reaction (PCR) SARS-CoV-2 tests for LTCF residents and caregivers, and at a later stage, the task",2022,2,8
35131043,"Risk of infection, hospitalisation, and death up to 9 months after a second dose of COVID-19 vaccine: a retrospective, total population cohort study in Sweden.","Vaccine effectiveness against COVID-19 beyond 6 months remains incompletely understood. We aimed to investigate the effectiveness of COVID-19 vaccination against the risk of infection, hospitalisation, and death during the first 9 months after vaccination for the total population of Sweden. This retrospective, total population cohort study was done using data from Swedish nationwide registers. The cohort comprised all individuals vaccinated with two doses of ChAdOx1 nCoV-19, mRNA-1273, or BNT162",2022,2,16
35123676,"COVID-19 vaccine-induced antibody responses in immunosuppressed patients with inflammatory bowel disease (VIP): a multicentre, prospective, case-control study.","The effects that therapies for inflammatory bowel disease (IBD) have on immune responses to SARS-CoV-2 vaccination are not yet fully known. Therefore, we sought to determine whether COVID-19 vaccine-induced antibody responses were altered in patients with IBD on commonly used immunosuppressive drugs. In this multicentre, prospective, case-control study (VIP), we recruited adults with IBD treated with one of six different immunosuppressive treatment regimens (thiopurines, infliximab, a thiopurine",2022,2,11
35114141,"Safety and immunogenicity of a high-dose quadrivalent influenza vaccine administered concomitantly with a third dose of the mRNA-1273 SARS-CoV-2 vaccine in adults aged =65 years: a phase 2, randomised, open-label study.","Concomitant seasonal influenza vaccination with a COVID-19 vaccine booster could help to minimise potential disruption to the seasonal influenza vaccination campaign and maximise protection against both diseases among individuals at risk of severe disease and hospitalisation. This study aimed to assess the safety and immunogenicity of concomitant administration of high-dose quadrivalent influenza vaccine (QIV-HD) and a mRNA-1273 vaccine booster dose in older adults. This study is an ongoing, pha",2022,2,5
35114060,Predictive factors of a viral neutralizing humoral response after a third dose of COVID-19 mRNA vaccine in kidney transplant recipients.,"Kidney transplant recipients (KTRs) have reduced ability to mount adequate antibody response after two doses of COVID-19 mRNA vaccine. French health authorities have allowed a third booster dose (D3) for KTRs, but their response is heterogeneous and tools able to discriminate the responders are lacking. Anti-RBD IgG titers (chemiluminescence immunoassay), spike-specific cellular responses (IFN-<U+03B3>-releasing assay, IGRA), and in vitro serum neutralization of the virus (the best available correlate ",2022,2,3
35113647,Divergent SARS CoV-2 Omicron-reactive T- and B cell responses in COVID-19 vaccine recipients.,"The severe acute respiratory distress syndrome coronavirus-2 (SARS-CoV-2) Omicron variant (B.1.1.529) is spreading rapidly, even in vaccinated individuals, raising concerns about immune escape. Here, we studied neutralizing antibodies and T-cell responses targeting SARS-CoV-2 D614G (wildtype, WT), and the B.1.351 (Beta), B.1.617.2 (Delta), and B.1.1.529 (Omicron) variants of concern (VOC) in a cohort of 60 health care workers after immunization with ChAdOx-1 S, Ad26.COV2.S, mRNA-1273 or BNT162b2",2022,2,3
35108277,mRNA Covid-19 vaccines in pregnancy: A systematic review.,"Pregnancy is a known risk factor for severe Coronavirus disease 2019. It is important to develop safe vaccines that elicit strong maternal and fetal antibody responses. Registries (ClinicalTrials.gov, the WHO Clinical Trial Registry, and the European Union Clinical Trial Registry) and databases (MEDLINE, ScienceDirect, Cochrane Library, Proquest, Springer, medRxiv, and bioRxiv) were systematically searched in June 20-22, 2021, for research articles pertaining to Covid-19 and pregnancy. Manual se",2022,2,11
35101265,Pan-SARS neutralizing responses after third boost vaccination in non-human primate immunogenicity model.,"The emergence of SARS-CoV-2 variants, especially Beta and Delta, has raised concerns about the reduced protection from previous infection or vaccination based on the original Wuhan-Hu-1 (D614) virus. To identify promising regimens for inducing neutralizing titers towards new variants, we evaluated monovalent and bivalent mRNA vaccines either as primary vaccination or as a booster in nonhuman primates (NHPs). Two mRNA vaccines, D614-based MRT5500 and Beta-based MRT5500? tested in sequential regi",2022,2,19
35099023,Heterologous immunization with BNT162b2 followed by mRNA-1273 in dialysis patients: seroconversion and presence of neutralizing antibodies.,"The vital renal replacement therapy makes it impossible for dialysis patients to distance themselves socially. This results in a high risk of SARS-CoV-2 infection and developing COVID-19 with excess mortality due to disease burden and immunosuppression. We determined the efficacy of a 100 µg booster of mRNA-1273 (Moderna, Inc., Cambridge, Massachusetts, USA) 6 months after two doses of BNT162b2 (BioNTech/Pfizer, Mainz, Germany/New York, NY, USA) in 194 SARS-CoV-2 naïve dialysis patients. Anti-SA",2022,1,31
35093194,"Persistence of protection against SARS-CoV-2 clinical outcomes up to 9 months since vaccine completion: a retrospective observational analysis in Lombardy, Italy.","Scarce information is available on the duration of the protective effect of COVID-19 vaccination against the risk of SARS-CoV-2 infection and its severe clinical consequences. We investigated the effect of time since vaccine completion on the SARS-CoV-2 infection and its severe forms. In this retrospective observational analysis using the vaccination campaign integrated platform of the Italian region of Lombardy, 5 351 085 individuals aged 12 years or older who received complete vaccination from",2022,2,4
35091386,COVID-19 vaccination in patients with multiple sclerosis: Safety and humoral efficacy of the third booster dose.,"As immunity against SARS-COV-2 wanes following first and second doses of vaccination, a third dose is administered in several countries around the world. Similarly to the first doses, risks related to vaccination and humoral immune response in patients with multiple sclerosis (MS) need to be assessed. Characterize safety and humoral immune response following the third dose of COVID-19 vaccination in a large cohort of MS patients. We assessed the safety of the third dose of the BNT162b2-COVID-19 ",2022,2,18
35087066,Extended interval BNT162b2 vaccination enhances peak antibody generation.,"The BNT162b2 vaccine is highly effective against COVID-19 infection and was delivered with a 3-week time interval in registration studies<sup>1</sup>. However, many countries extended this interval to accelerate population coverage with a single vaccine. It is not known how immune responses are influenced by delaying the second dose. We provide the assessment of immune responses in the first 14 weeks after standard or extended-interval BNT162b2 vaccination and show that delaying the second dose ",2022,2,8
35085224,"Effectiveness of a Third Dose of mRNA Vaccines Against COVID-19-Associated Emergency Department and Urgent Care Encounters and Hospitalizations Among Adults During Periods of Delta and Omicron Variant Predominance - VISION Network, 10 States, August 2021-January 2022.","Estimates of COVID-19 mRNA vaccine effectiveness (VE) have declined in recent months (1,2) because of waning vaccine induced immunity over time,* possible increased immune evasion by SARS-CoV-2 variants (3), or a combination of these and other factors. CDC recommends that all persons aged =12 years receive a third dose (booster) of an mRNA vaccine =5 months after receipt of the second mRNA vaccine dose and that immunocompromised individuals receive a third primary dose.<sup>?/sup> A third dose ",2022,2,7
35085218,"Effectiveness of a Third Dose of Pfizer-BioNTech and Moderna Vaccines in Preventing COVID-19 Hospitalization Among Immunocompetent and Immunocompromised Adults - United States, August-December 2021.","COVID-19 mRNA vaccines (BNT162b2 [Pfizer-BioNTech] and mRNA-1273 [Moderna]) provide protection against infection with SARS-CoV-2, the virus that causes COVID-19, and are highly effective against COVID-19-associated hospitalization among eligible persons who receive 2 doses (1,2). However, vaccine effectiveness (VE) among persons with immunocompromising conditions* is lower than that among immunocompetent persons (2), and VE declines after several months among all persons (3). On August 12, 2021,",2022,2,7
35081293,Homologous and Heterologous Covid-19 Booster Vaccinations.,"Although the three vaccines against coronavirus disease 2019 (Covid-19) that have received emergency use authorization in the United States are highly effective, breakthrough infections are occurring. Data are needed on the serial use of homologous boosters (same as the primary vaccine) and heterologous boosters (different from the primary vaccine) in fully vaccinated recipients. In this phase 1-2, open-label clinical trial conducted at 10 sites in the United States, adults who had completed a C",2022,2,11
35075635,BNT162b2 mRNA COVID-19 vaccine booster induces seroconversion in patients with B-cell non-Hodgkin lymphoma who failed to respond to two prior vaccine doses.,"This prospective study evaluated seroconversion rates in response to BNT162b2 (Pfizer-BioNTech) COVID-19 vaccine booster in 44 B-cell non-Hodgkin lymphoma (B-NHL) patients who failed to respond to two prior doses [42 previously exposed to anti-CD20 monoclonal antibodies (moAbs) including 13 under maintenance treatment]. Seroconversion was obtained in 29.5% of the patients. Longer time from last anti-CD20 moAb (&gt;6 months) and diagnosis of aggressive lymphoma compared to other, incurable B-NHLs",2022,1,25
35074136,"Heterologous versus homologous COVID-19 booster vaccination in previous recipients of two doses of CoronaVac COVID-19 vaccine in Brazil (RHH-001): a phase 4, non-inferiority, single blind, randomised study.","The inactivated whole-virion SARS-CoV-2 vaccine (CoronaVac, Sinovac) has been widely used in a two-dose schedule. We assessed whether a third dose of the homologous or a different vaccine could boost immune responses. RHH-001 is a phase 4, participant masked, two centre, safety and immunogenicity study of Brazilian adults (18 years and older) in São Paulo or Salvador who had received two doses of CoronaVac 6 months previously. The third heterologous dose was of either a recombinant adenoviral ve",2022,2,18
35062747,"Safety and Immunogenicity of the Third Booster Dose with Inactivated, Viral Vector, and mRNA COVID-19 Vaccines in Fully Immunized Healthy Adults with Inactivated Vaccine.","The coronavirus disease 2019 (COVID-19) pandemic has become a severe healthcare problem worldwide since the first outbreak in late December 2019. Currently, the COVID-19 vaccine has been used in many countries, but it is still unable to control the spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, despite patients receiving full vaccination doses. Therefore, we aimed to appraise the booster effect of the different platforms of vaccines, including inactivated vacci",2022,1,28
35062736,Analysis of Neutralization Titers against SARS-CoV-2 in Health-Care Workers Vaccinated with Prime-Boost mRNA-mRNA or Vector-mRNA COVID-19 Vaccines.,"With increasing numbers of vaccine-breakthrough infections worldwide, assessing the immunogenicity of vaccinated health-care workers that are frequently exposed to SARS-CoV-2-infected individuals is important. In this study, neutralization titers against SARS-CoV-2 were assessed one month after completed prime-boost vaccine regimens in health-care workers vaccinated with either mRNA-mRNA (Comirnaty<sup>?/sup>, BioNTech-Pfzier, Mainz, Germany/New York, NY, USA, n = 98) or vector-based (Va",2022,1,28
35062696,Reduced Humoral Response of SARS-CoV-2 Antibodies following Vaccination in Patients with Inflammatory Rheumatic Diseases-An Interim Report from a Danish Prospective Cohort Study.,"Background/Purpose: In light of the current COVID-19 pandemic, whether patients with rheumatic musculoskeletal disease (RMD) treated with conventional (cs) or biologic (b) disease-modifying drugs (DMARDs) exhibit an adequate immune response to the currently available SARS-CoV-2 vaccinations remains a major concern. There is an urgent need for more SARS-CoV-2 vaccine efficacy data to inform healthcare providers on the potential need for a booster vaccine. We established the 'Dete",2022,1,28
35060999,Association Between 3 Doses of mRNA COVID-19 Vaccine and Symptomatic Infection Caused by the SARS-CoV-2 Omicron and Delta Variants.,"Assessing COVID-19 vaccine performance against the rapidly spreading SARS-CoV-2 Omicron variant is critical to inform public health guidance. To estimate the association between receipt of 3 doses of Pfizer-BioNTech BNT162b2 or Moderna mRNA-1273 vaccine and symptomatic SARS-CoV-2 infection, stratified by variant (Omicron and Delta). A test-negative case-control analysis among adults 18 years or older with COVID-like illness tested December 10, 2021, through January 1, 2022, by a national pharmac",2022,2,19
35057798,Humoral immune response after different SARS-CoV-2 vaccination regimens.,"The humoral immune response after primary immunisation with a SARS-CoV-2 vector vaccine (AstraZeneca AZD1222, ChAdOx1 nCoV-19, Vaxzevria) followed by an mRNA vaccine boost (Pfizer/BioNTech, BNT162b2; Moderna, m-1273) was examined and compared with the antibody response after homologous vaccination schemes (AZD1222/AZD1222 or BNT162b2/BNT162b2). Sera from 59 vaccinees were tested for anti-SARS-CoV-2 immunoglobulin G (IgG) and virus-neutralising antibodies (VNA) with three IgG assays based on (par",2022,1,25
35056453,Immune Responses to SARS-CoV-2 Infection and Vaccination in Dialysis Patients and Kidney Transplant Recipients.,Dialysis patients and kidney transplant (KTX) recipients suffer from an impaired immune system and show a decreased response to the severe acute respiratory syndrome coronavirus type 2 (SARS-CoV-2) vaccination. We performed a retrospective analysis of 1505 serological SARS-CoV-2 measurements obtained from 887 dialysis patients and 86 KTX recipients. The results were separated by patient subgroups (dialysis/KTX) as well as SARS-CoV-2 status. The latter criterion included SARS-CoV-2-naïve patients,2022,1,28
35056015,Six-Month Follow-Up after Vaccination with BNT162b2: SARS-CoV-2 Antigen-Specific Cellular and Humoral Immune Responses in Hemodialysis Patients and Kidney Transplant Recipients.,"Hemodialysis patients (HDP) and kidney transplant recipients (KTR) have a high risk of infection with SARS-CoV-2 with poor clinical outcomes. Because of this, vaccination of these groups of patients against SARS-CoV-2 is particularly important. However, immune responses may be impaired in immunosuppressed and chronically ill patients. Here, our aim was to compare the efficacy of an mRNA-based vaccine in HDP, KTR, and healthy subjects. In this prospective observational cohort study, the humoral a",2022,1,28
35051990,Neutralizing antibodies against the SARS-CoV-2 Delta and Omicron variants following heterologous CoronaVac plus BNT162b2 booster vaccination.,"The recent emergence of the SARS-CoV-2 Omicron variant is raising concerns because of its increased transmissibility and by its numerous spike mutations with potential to evade neutralizing antibodies elicited by COVID-19 vaccines. Here, we evaluated the effects of a heterologous BNT162b2 mRNA vaccine booster on the humoral immunity of participants that had received a two-dose regimen of CoronaVac, an inactivated vaccine used globally. We found that heterologous CoronaVac prime followed by BNT16",2022,1,20
35051137,"Use of the Janssen (Johnson &amp; Johnson) COVID-19 Vaccine: Updated Interim Recommendations from the Advisory Committee on Immunization Practices - United States, December 2021.","On February 27, 2021, the Food and Drug Administration (FDA) issued an Emergency Use Authorization (EUA) for the adenovirus-vectored COVID-19 vaccine (Janssen Biotech, Inc., a Janssen Pharmaceutical company, Johnson &amp; Johnson), and on February 28, 2021, the Advisory Committee on Immunization Practices (ACIP) issued an interim recommendation for its use as a single-dose primary vaccination in persons aged =18 years (1,2). On April 13, 2021, CDC and FDA recommended a pause in the use of Jansse",2022,1,28
35046572,mRNA booster immunization elicits potent neutralizing serum activity against the SARS-CoV-2 Omicron variant.,"The Omicron variant of SARS-CoV-2 is causing a rapid increase in infections across the globe. This new variant of concern carries an unusually high number of mutations in key epitopes of neutralizing antibodies on the viral spike glycoprotein, suggesting potential immune evasion. Here we assessed serum neutralizing capacity in longitudinal cohorts of vaccinated and convalescent individuals, as well as monoclonal antibody activity against Omicron using pseudovirus neutralization assays. We report",2022,1,22
35045566,"Effectiveness of COVID-19 booster vaccines against covid-19 related symptoms, hospitalisation and death in England.","Booster vaccination with mRNA vaccines have been offered to adults in England starting on 14 September 2021. We used a test-negative case-control design to estimate the relative effectiveness of a booster dose of BNT162b2 (Pfizer-BioNTech) compared to only a 2-dose primary course (at least 175 days after the second dose) as well as compared to unvaccinated individuals from 13 September 2021 to 5 December 2021, when Delta variant was dominant in circulation. Outcomes were symptomatic COVID-19 and",2022,1,19
35043108,A single dose ChAdOx1 nCoV-19 vaccine elicits high antibody responses in individuals with prior SARS-CoV-2 infection comparable to that of double dose vaccinated SARS-CoV-2 infection naïve individuals.,"Background A single dose COVID-19 vaccines, mostly mRNA-based vaccines, are shown to induce robust antibody responses in individuals who were previously infected with SARS-CoV-2, suggesting the sufficiency of a single dose to those individuals. However, these important data are limited to developed nations and lacking in resource-limited countries, like Ethiopia. Methods We compared receptor-binding domain (RBD)-specific IgG antibodies in 40 SARS-CoV-2 naïve participants and 25 participants prev",2022,1,25
35041700,Development and utilization of a surrogate SARS-CoV-2 viral neutralization assay to assess mRNA vaccine responses.,"Tests for SARS-CoV-2 immunity are needed to help assess responses to vaccination, which can be heterogeneous and may wane over time. The plaque reduction neutralization test (PRNT) is considered the gold standard for measuring serum neutralizing antibodies but requires high level biosafety, live viral cultures and days to complete. We hypothesized that competitive enzyme linked immunoassays (ELISAs) based on SARS-CoV-2 spike protein's receptor binding domain (RBD) attachment to its host receptor",2022,1,24
35027397,Additional heterologous versus homologous booster vaccination in immunosuppressed patients without SARS-CoV-2 antibody seroconversion after primary mRNA vaccination: a randomised controlled trial.,"SARS-CoV-2-induced COVID-19 has led to exponentially rising mortality, particularly in immunosuppressed patients, who inadequately respond to conventional COVID-19 vaccination. In this blinded randomised clinical trial, we compare the efficacy and safety of an additional booster vaccination with a vector versus mRNA vaccine in non-seroconverted patients. We assigned 60 patients under rituximab treatment, who did not seroconvert after their primary mRNA vaccination with either BNT162b2 (Pfizer-Bi",2022,1,14
35018390,Predicting COVID-19 severity using major risk factors and received vaccines.,"Vaccines are highly effective in preventing severe disease and death from COVID-19, and new medications that can reduce severity of disease have been approved. However, many countries are facing limited supply of vaccine doses and medications. A model estimating the probabilities for hospitalization and mortality according to individual risk factors and vaccine doses received could help prioritize vaccination and yet scarce medications to maximize lives saved and reduce the burden on hospitaliza",2022,1,15
35011801,Waning Humoral Response 3 to 6 Months after Vaccination with the SARS-COV-2 BNT162b2 mRNA Vaccine in Dialysis Patients.,"The short-term reported antibody response to SARS-COV-2 vaccination in dialysis patients is high, with a seroconversion response rate up to 97%. Data on the long-term durability of this response are scarce. Our objective was to characterize the long-term anti-spike antibody level in dialysis patients. In an observational study, we measured SARS-COV-2 anti-spike antibody levels in dialysis patients who completed 2 doses of the BNT162b2 mRNA SAR S-COV-2 vaccine at 1, 3 and 6 months after the secon",2022,1,14
